device_id,device_name,device_type,timestamp,temperature,humidity,distance,motion,servo_state,led_states,tx_bytes,rx_bytes,connections,status,alert_type,severity,label
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 16:54:30,29.66,68.81,167.08,False,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 15:38:26,31.37,78.39,22.85,True,moving,"{'red_led': np.True_, 'green_led': np.False_}",8483,5999,1,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 07:19:03,26.26,41.96,127.04,True,,,0,0,0,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 12:59:15,27.39,41.34,117.51,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 14:26:01,19.4,75.8,28.28,False,,,0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 12:30:15,29.38,56.21,188.85,False,,,0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 10:55:10,30.65,47.49,155.68,False,,,0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 23:48:19,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,distance_alert,medium,anomaly
esp32-001,ESP32 Main Controller,esp32,2025-01-01 05:06:15,24.57,53.0,157.7,False,moving,"{'red_led': np.True_, 'green_led': np.False_}",1388,7720,3,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 16:01:19,19.94,52.58,70.47,True,,,0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 18:17:35,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 18:30:00,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 21:08:40,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,offline,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 00:17:52,31.02,60.14,32.98,False,open,"{'red_led': np.False_, 'green_led': np.False_}",3373,2426,1,online,none,none,normal
